No,placeId,placeName,rating,review,newReview,ratio,type
43,ChIJu2YM5gSZ4jARoL7Fey_yXy0,มิวเซียมสยาม,4.5,5351,8.585038738311304,38.63267432240088,"history,art,nature"
44,ChIJR5NzOMOc4jAR-zcXjSL3h84,พิพิธภัณฑ์ศิลปะไทยร่วมสมัย,4.7,3294,8.099857910737585,38.06933218046665,"history,art"
45,ChIJiYe3uWuc4jARYAJGPbMAAR0,สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ,4.5,4557,8.424419791263883,37.90988906068748,nature
46,ChIJQ7veH86e4jARQ4ENIGGlL0Y,วัดปทุมวนาราม ราชวรวิหาร,4.6,3669,8.207674424355282,37.7553023520343,"history,nature"
47,ChIJt9HTSwKf4jARsDoLPbMAAQ8,อุทยานเบญจสิริ,4.4,5245,8.565030520830398,37.68613429165375,"history,nature"
48,ChIJP-MtN12Z4jARlEBmga-oF4w,วัดสระเกศราชวรมหาวิหาร (ภูเขาทอง),4.7,2679,7.893198869544609,37.09803468685966,nature
49,ChIJQWwK59-Y4jARMzM5lcfA4eU,ล้ง 1919,4.2,6817,8.827174771362785,37.074134039723695,nature
50,ChIJAQEzRf-f4jARR6eNfs8yoGg,วัดธรรมมงคลเถาบุญนนทวิหาร(หลวงพ่อวิริยังค์),4.7,2654,7.883823214892152,37.05396910999312,nature
51,ChIJ_1wg6Xqf4jARwu_tBPmKbmU,สวนสาธารณะและสวนพฤกษชาติ ศรีนครเขื่อนขันธ์,4.5,3593,8.186742787113518,36.84034254201083,nature
52,ChIJPf5UmUGY4jARlrIcpGxOwCE,วัดนาคปรก,4.7,2297,7.739359202689098,36.37498825263876,nature
53,ChIJ036XygKZ4jARO-khn0G0d1I,วัดประยุรวงศาวาสวรวิหาร,4.6,2502,7.824845691026856,35.99429017872353,nature
54,ChIJKds06CuZ4jAREX4LxxCQBbg,อุทยาน ๑๐๐ ปี จุฬาฯ,4.6,2454,7.805474625270857,35.905183276245936,nature
55,ChIJ144wX7ee4jARIDsLPbMAAQ8,สวนสันติภาพ,4.5,2677,7.892452043520352,35.516034195841584,nature
56,ChIJGe2dNRSZ4jARXs-hTwCQmFI,นิทรรศน์รัตนโกสินทร์,4.6,2133,7.665284718471351,35.26030970496821,art
57,ChIJ92R0yTjO5TAR_3vyWOAVlXs,เหมืองปิล็อก,4.4,2222,7.706162970199576,33.90711706887814,special
58,ChIJrdfOcJOZ4jAR1Grh5w74V1g,ไชน่าทาวน์,4.5,1730,7.455876687491824,33.55144509371321,special
59,ChIJ8094I79tHTER1xbklTOXJTA,ฮาราจูกุ ไทยแลนด์,4.2,1910,7.554858521040676,31.73040578837084,special
60,ChIJF6uVAzt9HTEROKM0WKZMU7M,บ้านศิลปินคลองบางหลวง : Artist House Bangkok,4.5,1119,7.020190708311925,31.59085818740366,art
61,ChIJR899CdqY4jAR9k0sJXIVHC4,พิพิธภัณฑ์ชาวบางกอก,4.6,815,6.703188113240863,30.83466532090797,art
62,ChIJhbRNuNuY4jARnvfgK79ciCM,แวร์เฮาส์ 30,4.2,1291,7.1631723908466425,30.0853240415559,art
63,ChIJN4PkjhSZ4jAR3WolPOGAXxE,หอศิลป์ร่วมสมัยราชดำเนิน,4.5,579,6.361302477572996,28.62586114907848,art
64,ChIJvU1v1cye4jARwCOjtxivaVU,YELO House,4.3,594,6.386879319362645,27.463581073259373,art
65,ChIJAcuELQ2Z4jAR3q0DmU_NKkQ,พิพิธภัณฑสถานแห่งชาติ หอศิลป์,4.1,798,6.682108597449809,27.39664524954421,art
66,ChIJW6dIDhWZ4jARS2gURqMBgH4,หอศิลป์สมเด็จพระนางเจ้าสิริกิติ์ พระบรมราชินีนาถ,4.5,366,5.902633333401366,26.561850000306148,art
67,ChIJS5RzxCSf4jARGHFyDqJYf8M,แบงค็อก ซิตีซิตี แกลเลอรี,4.4,361,5.8888779583328805,25.91106301666468,art
68,ChIJ8evyP3KZ4jAR1QgVpP_W5KA,หอศิลป์ ณ บ้านเจ้าพระยา,4.7,185,5.220355825078324,24.535672377868124,art
69,ChIJVZOmhyie4jARxRzQ98eAnlE,The Botanical House Bangkok,4.5,218,5.384495062789089,24.230227782550894,special
70,ChIJEyfe5-ee4jAR9BBQe4nJFMo,SAC Gallery,4.6,178,5.181783550292085,23.836204331343588,art
71,ChIJv9kuiiiR4jARU_q9UyIKUaA,บ้านพิพิธภัณฑ์,4.6,162,5.087596335232384,23.402943142068963,art
72,ChIJxz7AVBSZ4jARN1_W35voh7M,ATT 19,4.7,135,4.90527477843843,23.05479145866062,art
73,ChIJpz_EcMuY4jAR20PANGyPk-M,Sathon 11 Art Space,4.6,148,4.997212273764115,22.987176459314927,art
74,ChIJd_221oef4jAR6Js3kezVQ-U,Palette Artspace,4.5,147,4.990432586778736,22.456946640504317,art
75,ChIJYbz_xs-Y4jAR47MqwMDY87c,number1gallery,4.4,144,4.969813299576001,21.86717851813441,art
